,5,6,7,8,9,10,11
소분류,15∼19세,20∼29세,30∼39세,40∼49세,50∼59세,60세 이상,65세 이상
계 (%),100.0,100.0,100.0,100.0,100.0,100.0,100.0
인구 1인당 평균독서권수 (권),17.8,17.9,14.5,10.4,5.8,2.2,1.6
독서함 (%),78.3,81.6,78.9,67.6,48.7,23.9,19.9
독서인구 1인당 평균독서권수 (권),22.7,21.9,18.4,15.4,11.9,9.0,7.9
잡지류,38.0,54.8,52.1,54.5,53.7,40.3,36.6
잡지평균권수,6.0,6.5,6.3,6.6,6.5,5.4,5.5
교양서적,75.1,69.8,63.5,65.2,64.1,73.5,73.8
교양서적평균권수,9.5,9.3,8.4,8.4,7.0,6.7,6.1
직업서적,19.8,47.5,46.4,41.5,33.2,17.5,12.4
직업서적평균권수,8.0,7.9,7.6,7.5,7.2,6.2,5.3
생활취미서적,17.0,29.6,34.7,27.0,24.5,18.7,16.9
생활취미서적평균권수,5.2,5.0,5.3,4.5,3.8,3.7,3.6
기타서적,49.0,29.6,19.7,12.4,6.6,3.7,2.6
기타서적평균권수,22.1,22.6,22.1,16.2,10.1,4.8,5.2
