"통계분류(1)",통계분류(2),2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013
"통계분류(1)",통계분류(2),합계,출판,만화,음악,영화,비중,합계,출판,만화,음악,영화,비중
"합계",소계,85972783,19881472,701559,3968902,4527865,100,91091200,20799789,797649,4277164,4664748,100
"서울",소계,59328043,12292234,342830,2451309,2866433,69,62180331,11765355,364334,2640542,2875817,68.3
"7개시",부산,1886588,529184,22230,137703,188522,2.2,2112918,557846,9119,169115,179008,2.3
"7개시",대구,1429587,466001,11365,115266,115607,1.7,1574508,413342,12880,170907,120396,1.7
"7개시",인천,1213936,314423,13484,116143,171039,1.4,1430868,408477,17342,99611,107353,1.6
"7개시",광주,802650,240693,8411,16271,76877,0.9,866234,269777,23248,17618,98161,1
"7개시",대전,1053705,220171,10016,60300,81218,1.2,1365781,242439,6813,32944,83871,1.5
"7개시",울산,453076,89323,4617,46443,34313,0.5,534287,135965,3330,31945,46788,0.6
"9개 도",경기,15008562,4802554,244769,561467,641629,17.5,15451091,5976145,300608,568700,720090,17
"9개 도",강원,508106,74605,4910,51373,38577,0.6,506080,61082,13004,52884,58426,0.6
"9개 도",충북,581621,104587,5671,53415,41512,0.7,693310,83784,2223,26466,30194,0.8
"9개 도",충남,580843,137681,6145,61484,44779,0.7,795610,210594,1844,31973,62697,0.9
"9개 도",전북,510950,89282,4429,46351,49612,0.6,527737,97486,9932,30947,57863,0.6
"9개 도",전남,404765,39048,4224,51214,31766,0.5,376784,48344,1312,41022,32559,0.4
"9개 도",경북,823067,231177,8238,88602,47774,1,1148090,271804,21564,260280,77613,1.3
"9개 도",경남,981035,213636,8787,93102,80304,1.1,1316458,219703,5899,93147,96796,1.4
"9개 도",제주,406249,36873,1433,18459,17903,0.5,211113,37646,4197,9063,17116,0.2
