"지역(1)",2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017
"지역(1)",도서관 수(관),총 도서(인쇄) 수(권),총 비도서 수(점),총 연속간행물 수(종),총 전자자료 수(종),1관당 평균 도서(인쇄) 수(권),1관당 비도서 수(점),1관당 연속간행물 수(종),1관당 전자자료 수(종),총 방문자 수(명),1관당 방문자 수(명),연간 이용자 수(명),연간 대출 도서 수(권),도서관 수(관),총 도서(인쇄) 수(권),총 비도서 수(점),총 연속간행물 수(종),총 전자자료 수(종),1관당 평균 도서(인쇄) 수(권),1관당 비도서 수(점),1관당 연속간행물 수(종),1관당 전자자료 수(종),총 방문자 수(명),1관당 방문자 수(명),연간 이용자 수(명),연간 대출 도서 수(권)
"전국",1010,98823835,3821681,138403,14537798,97845,3784,137,14394,282040395,279248,195051951,124121098,1042,104965121,6273667,130189,18740785,100734,6021,125,17985,272068981,261103,191187830,126632457
"서울",147,12583120,515455,24633,8555650,85599,3506,168,58202,68247780,464271,50698340,23033500,160,13484498,550179,25734,9429470,84278,3439,161,58934,64248566,401554,48554365,22662045
"부산",40,5124311,259239,10545,395112,128108,6481,264,9878,17397246,434931,11915518,6614321,40,5465782,261847,10359,362397,136645,6546,259,9060,16494516,412363,11074565,6503370
"대구",35,3892030,175997,6468,272603,111201,5028,185,7789,12563925,358969,6843630,5923247,36,4075509,166455,6270,277495,113209,4624,174,7708,12587143,349643,6446394,6012844
"인천",47,4017969,184716,5080,195009,85489,3930,108,4149,13944382,296689,10894728,5145107,48,4244461,192269,4323,358918,88426,4006,90,7477,14265311,297194,11157932,5132139
"광주",22,2389586,49051,7398,185033,108618,2230,336,8411,7777737,353534,3807041,2954735,23,2495051,51735,7603,215876,108480,2249,331,9386,6354116,276266,3310634,2491646
"대전",24,2647240,120043,2499,43835,110302,5002,104,1826,7280735,303364,3731128,3020666,24,2764509,114596,2451,35014,115188,4775,102,1459,6838459,284936,3943953,3082148
"울산",17,1758828,129514,2647,25676,103460,7618,156,1510,5192301,305429,3900204,1885101,18,1837894,137279,2390,30363,102105,7627,133,1687,4608764,256042,4137673,2893707
"세종",5,186150,2368,238,0,37230,474,48,0,549975,109995,374430,320456,5,243135,3582,229,0,48627,716,46,0,559021,111804,401665,413535
"경기",244,27720220,1024166,28613,2582029,113607,4197,117,10582,76890677,315126,56607827,41696734,250,29463033,1065144,28630,3289682,117852,4261,115,13159,75185228,300741,57901379,41030162
"강원",54,4599757,170043,5004,316679,85181,3149,93,5864,7084913,131202,4630081,2963436,56,4946793,174870,4899,365775,88336,3123,87,6532,7174881,128123,4515848,3261126
"충북",44,3576570,88133,3086,232323,81286,2003,70,5280,7411560,168445,4880577,3650401,45,3930197,104082,5814,252463,87338,2313,129,5610,7536027,167467,5017344,3484348
"충남",59,5117471,124492,4152,202437,86737,2110,70,3431,10494784,177878,6370314,5087545,59,5271942,133398,4650,259907,89355,2261,79,4405,10349446,175414,6716533,4969256
"전북",58,4632263,137894,12541,382038,79867,2377,216,6587,9371984,161586,5025725,3710293,58,4846100,138764,2587,292143,83553,2392,45,5037,9892426,170559,4411382,3712406
"전남",64,5821602,243769,5028,342263,90963,3809,79,5348,9822391,153475,6826159,3925281,67,6062095,2562911,5224,1858608,90479,38252,78,27740,9280200,138510,5927119,3916174
"경북",64,5742599,170792,7155,222214,89728,2669,112,3472,11182306,174724,8046741,5185989,65,6421582,182834,7200,215588,98794,2813,111,3317,10631188,163557,7857500,4833762
"경남",65,6686698,358541,11678,500124,102872,5516,180,7694,13928254,214281,8668943,7239124,67,6976416,367974,9971,1431421,104126,5492,149,21364,13122590,195860,7952081,10325566
"제주",21,2327421,67468,1638,84773,110830,3213,78,4037,2899445,138069,1830565,1765162,21,2436124,65748,1855,65665,116006,3131,88,3127,2941099,140052,1861463,1908223
